部品名,価格,個数,合計,サイト
チップコンデンサ0.1uF 1608,2,12,24,https://akizukidenshi.com/catalog/g/gP-06166/
チップコンデンサ20uF 2012,12,1,12,https://akizukidenshi.com/catalog/g/gP-08240/
チップコンデンサ10uF 1608,15,3,45,https://akizukidenshi.com/catalog/g/gP-13161/
チップコンデンサ0.47uF 1608,7.25,1,7.25,https://jp.rs-online.com/web/p/mlccs-multilayer-ceramic-capacitors/1843488
チップコンデンサ1nF 1608,2,1,2,https://akizukidenshi.com/catalog/g/gP-14581/
チップコンデンサ1uF 1608,5,1,5,https://akizukidenshi.com/catalog/g/gP-14526/
チップ電解コンデンサ220uF 10×10mm,20,1,20,https://akizukidenshi.com/catalog/g/gP-04577/
チップLED orange 1608,10,2,20,https://akizukidenshi.com/catalog/g/gI-06416/
チップLED blue 1608,10,2,20,https://akizukidenshi.com/catalog/g/gI-03982/
チップLED green 1608,12.5,2,25,https://akizukidenshi.com/catalog/g/gI-06417/
チップショットキーバリアダイオード,15,1,15,https://akizukidenshi.com/catalog/g/gI-02073/
XHコネクタ横4ピン,12,1,12,https://akizukidenshi.com/catalog/g/gC-12842/
XHコネクタ横5ピン,15,1,15,https://akizukidenshi.com/catalog/g/gC-12428/
XHコネクタ横3ピン,10,1,10,https://akizukidenshi.com/catalog/g/gC-12263/
L字ピンヘッダ 2.54mm 2x12,30,1,30,https://akizukidenshi.com/catalog/g/gC-00148/
配線つける端子,0,2,0,お好きなように
NchMOSFET NP52N06SLG,20,4,80,https://akizukidenshi.com/catalog/g/gI-09928/
チップ抵抗1kΩ 1608,0.2,10,2,https://akizukidenshi.com/catalog/g/gR-14122/
チップ抵抗10kΩ 1608,0.2,5,1,https://akizukidenshi.com/catalog/g/gR-15029/
チップ抵抗3.3kΩ 1608,0.2,2,0.4,https://akizukidenshi.com/catalog/g/gR-14661/
チップ抵抗20Ω 1608,0.2,4,0.8,https://jp.rs-online.com/web/p/surface-mount-resistors/1995493
チップ抵抗4.7kΩ 1608,0.2,1,0.2,https://akizukidenshi.com/catalog/g/gR-14121/
3端子レギュレータ NJM2845,50,1,50,https://akizukidenshi.com/catalog/g/gI-11299/
フルブリッジドライバ A3921,350,1,350,https://akizukidenshi.com/catalog/g/gI-12293/
電流センサ ACS712ELCTR-30A-T,350,1,350,https://akizukidenshi.com/catalog/g/gI-12292/
L字ピンヘッダ 2.54mm 1x6,7.5,1,7.5,https://akizukidenshi.com/catalog/g/gC-01627/
フォトカプラ TLP291,20,1,20,https://akizukidenshi.com/catalog/g/gI-07189/
フォトカプラ TLP2361,50,3,150,https://akizukidenshi.com/catalog/g/gI-11004/
dsPIC33CH64MP202T-I/SS,400,1,400,https://akizukidenshi.com/catalog/g/gI-15250/
3.3V動作RS485ドライバ MAX3485ED,70,1,70,https://akizukidenshi.com/catalog/g/gI-16211/
3回路インバーター TC7WU04FU,30,1,30,https://akizukidenshi.com/catalog/g/gI-10462/
,,,1774.15,
