部品名,価格,個数,合計,サイト,備考、代替品など
チップコンデンサ2012 22uF,12,1,12,https://akizukidenshi.com/catalog/g/gP-08240/,
チップコンデンサ1608 10uF,15,1,15,https://akizukidenshi.com/catalog/g/gP-13161/,
XHコネクタ縦2ピン,10,1,10,https://akizukidenshi.com/catalog/g/gC-12247/,
XHコネクタ縦4ピン,10,2,20,https://akizukidenshi.com/catalog/g/gC-12249/,
ピンヘッダ1×2ピン,1.75,2,3.5,https://akizukidenshi.com/catalog/g/gC-00167/,
Tコネクタ(オス),50,1,50,https://akizukidenshi.com/catalog/g/gC-13420/,
ピンソケット2×12,28.57,5,142.85,https://akizukidenshi.com/catalog/g/gC-05780/,
チップ抵抗1608 120Ω,0.2,2,0.4,https://akizukidenshi.com/catalog/g/gR-06121/,
チップ抵抗1608 1kΩ,0.2,1,0.2,https://akizukidenshi.com/catalog/g/gR-14122/,
チップ抵抗1608 330Ω,0.2,1,0.2,https://akizukidenshi.com/catalog/g/gR-16125/,
DCDCコンバータ,,1,0,消滅,OKL-T3-W12N-Cを頑張って探す(RS485ポート供給モードなら無くてもいい)
,,,254.15,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#NAME?,,,,,
